user_id,resume_text,skills,experience_years,preferred_location
0,user 0 resume,"kubernetes,tf,ml",0,"London, , UK"
1,user 1 resume,"aws,sql,rust",9,"NYC, NY, USA"
2,user 2 resume,"sql,java,react,python",1,"Berlin, , Germany"
3,user 3 resume,"go,java,kubernetes",9,"Austin, TX, USA"
4,user 4 resume,"ml,aws",2,"Remote, , "
5,user 5 resume,"python,aws,java,react",14,"NYC, NY, USA"
6,user 6 resume,"python,aws",10,"SF, CA, USA"
7,user 7 resume,"tf,java",5,"NYC, NY, USA"
8,user 8 resume,"kubernetes,sql",6,"Berlin, , Germany"
9,user 9 resume,"java,kubernetes",0,"Remote, , "
10,user 10 resume,"java,python",0,"NYC, NY, USA"
11,user 11 resume,"java,react",8,"London, , UK"
12,user 12 resume,"react,go,java",0,"SF, CA, USA"
13,user 13 resume,"rust,react,tf,sql",9,"Remote, , "
14,user 14 resume,"react,java,tf,ml",5,"Austin, TX, USA"
15,user 15 resume,"aws,react,sql,java",2,"NYC, NY, USA"
16,user 16 resume,"react,ml,go",8,"SF, CA, USA"
17,user 17 resume,"aws,react,kubernetes",8,"SF, CA, USA"
18,user 18 resume,"python,aws,go",11,"Berlin, , Germany"
19,user 19 resume,"tf,ml,rust",2,"SF, CA, USA"
20,user 20 resume,"aws,tf,rust,python",8,"Austin, TX, USA"
21,user 21 resume,"react,sql,python",12,"NYC, NY, USA"
22,user 22 resume,"aws,python,sql",4,"Austin, TX, USA"
23,user 23 resume,"ml,kubernetes,tf",12,"Berlin, , Germany"
24,user 24 resume,"rust,react",10,"NYC, NY, USA"
25,user 25 resume,"sql,aws,rust,python",6,"NYC, NY, USA"
26,user 26 resume,"python,sql,rust,aws",13,"NYC, NY, USA"
27,user 27 resume,"react,go,tf,ml",14,"SF, CA, USA"
28,user 28 resume,"tf,sql,rust",3,"SF, CA, USA"
29,user 29 resume,"ml,tf,sql,kubernetes",14,"Berlin, , Germany"
30,user 30 resume,"python,aws,java",0,"SF, CA, USA"
31,user 31 resume,"python,kubernetes",1,"London, , UK"
32,user 32 resume,"aws,kubernetes,rust",0,"SF, CA, USA"
33,user 33 resume,"aws,sql,react,go",5,"SF, CA, USA"
34,user 34 resume,"rust,ml,go,tf",14,"SF, CA, USA"
35,user 35 resume,"java,python,react,aws",9,"SF, CA, USA"
36,user 36 resume,"sql,react,aws,python",9,"Austin, TX, USA"
37,user 37 resume,"react,python",1,"SF, CA, USA"
38,user 38 resume,"tf,ml,python,java",7,"SF, CA, USA"
39,user 39 resume,"rust,java,react,aws",5,"Austin, TX, USA"
40,user 40 resume,"react,java,tf,rust",7,"Berlin, , Germany"
41,user 41 resume,"ml,java",3,"SF, CA, USA"
42,user 42 resume,"kubernetes,rust,python",3,"Austin, TX, USA"
43,user 43 resume,"sql,kubernetes",14,"SF, CA, USA"
44,user 44 resume,"aws,rust",8,"NYC, NY, USA"
45,user 45 resume,"python,rust,java",6,"Remote, , "
46,user 46 resume,"kubernetes,sql",1,"London, , UK"
47,user 47 resume,"go,ml",11,"SF, CA, USA"
48,user 48 resume,"kubernetes,rust,python,ml",7,"London, , UK"
49,user 49 resume,"python,go,kubernetes,java",5,"NYC, NY, USA"
